                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0776,                 7.2014,                 4.3474,                0.00048,                0.05738,                0.00079,                0.00038,                 5.7428,                 13.129,                 4.1618,                0.00014,                0.00014,                0.00014
                      2,                 4.2303,                 6.9328,                 4.3172,                0.00049,                0.05738,                0.00083,                0.00034,                 5.7374,                 13.102,                 4.1624,             0.00029505,             0.00029505,             0.00029505
                      3,                 4.4311,                 7.9177,                 4.2088,                0.00049,                0.05738,                0.00072,                0.00032,                 5.7291,                  13.08,                 4.1637,             0.00044482,             0.00044482,             0.00044482
                      4,                 4.1311,                 6.7757,                 4.1699,                0.00048,                0.05738,                0.00062,                0.00026,                  5.708,                 12.915,                 4.1662,             0.00058931,             0.00058931,             0.00058931
                      5,                 4.2437,                 6.3177,                 4.0635,                0.00047,                0.05738,                0.00047,                0.00024,                 5.6509,                  12.35,                 4.1626,             0.00072852,             0.00072852,             0.00072852
                      6,                 4.3034,                 6.7054,                 3.8706,                0.00046,                0.05738,                0.00045,                0.00024,                 5.5693,                 11.307,                 4.2031,             0.00086245,             0.00086245,             0.00086245
                      7,                 4.0053,                 5.4683,                 3.6062,                0.00046,                0.05738,                0.00054,                0.00025,                 5.6407,                 10.061,                 4.3037,              0.0009911,              0.0009911,              0.0009911
                      8,                   3.61,                  4.808,                  3.507,                0.00046,                0.05738,                0.00067,                 0.0003,                 5.7528,                  9.765,                 4.4003,              0.0011145,              0.0011145,              0.0011145
                      9,                 3.6071,                 4.6241,                 3.2428,                0.00048,                0.05738,                0.00075,                0.00031,                  5.844,                  11.19,                 4.6701,              0.0012326,              0.0012326,              0.0012326
                     10,                 3.4562,                 4.3129,                 2.9774,                0.00049,                0.05738,                0.00082,                0.00033,                 5.9145,                 13.737,                 4.8456,              0.0013454,              0.0013454,              0.0013454
                     11,                 3.3203,                 3.9064,                 2.9141,                0.00139,                0.05738,                0.00171,                 0.0007,                 6.0281,                 15.544,                 5.1115,              0.0014529,              0.0014529,              0.0014529
                     12,                 3.4123,                 3.9226,                 2.6318,                0.00137,                0.05738,                0.00098,                0.00043,                 6.0262,                 14.122,                 5.0313,              0.0015552,              0.0015552,              0.0015552
                     13,                 3.4018,                 3.7915,                 2.5164,                0.00063,                0.05738,                0.00069,                 0.0003,                 5.9539,                 13.077,                 4.9222,               0.001604,               0.001604,               0.001604
                     14,                 3.2324,                 3.5454,                 2.6635,                0.00053,                0.05738,                0.00052,                0.00026,                  5.956,                 14.971,                 4.7886,               0.001571,               0.001571,               0.001571
                     15,                  3.173,                 3.3692,                 2.3087,                0.00053,                0.06148,                0.00041,                0.00022,                 5.6597,                 23.256,                  4.348,               0.001538,               0.001538,               0.001538
                     16,                 3.1638,                 3.3126,                 2.4568,                0.00104,                0.09836,                0.00082,                0.00035,                 4.4775,                 11.591,                 3.3874,               0.001505,               0.001505,               0.001505
                     17,                 3.2184,                 3.2104,                  2.347,                0.08457,                0.01743,                0.01835,                 0.0053,                 3.3456,                 5.0197,                 2.5769,               0.001472,               0.001472,               0.001472
                     18,                 3.0798,                  3.073,                 2.2854,                0.15921,                0.18033,                0.05198,                0.01383,                 3.0789,                  4.839,                  2.251,               0.001439,               0.001439,               0.001439
                     19,                 2.8775,                  2.963,                 2.3441,                0.15841,                0.14344,                0.06909,                 0.0203,                 2.8579,                 4.4446,                 2.0639,               0.001406,               0.001406,               0.001406
                     20,                 3.0362,                 2.9809,                 2.1765,                0.20271,                0.34426,                0.13889,                 0.0453,                 2.7322,                 3.4908,                  2.006,               0.001373,               0.001373,               0.001373
                     21,                 2.8816,                 2.7993,                  2.229,                0.25094,                0.36248,                0.15544,                0.04375,                  2.855,                 3.9107,                 1.9964,                0.00134,                0.00134,                0.00134
                     22,                 2.8943,                 2.6374,                 2.1377,                0.21581,                0.40574,                0.15593,                0.04739,                 2.7923,                 3.9114,                 1.9831,               0.001307,               0.001307,               0.001307
                     23,                 2.9058,                 2.8381,                 2.1424,                0.15609,                0.35246,                0.10409,                0.03004,                 2.8981,                 6.5315,                 2.1116,               0.001274,               0.001274,               0.001274
                     24,                  2.877,                 2.7121,                   2.12,                0.13612,                0.39754,                0.08341,                0.02389,                 2.9581,                  9.812,                 2.2036,               0.001241,               0.001241,               0.001241
                     25,                 2.9358,                 2.6315,                 2.1276,                0.26163,                0.35656,                0.16368,                0.05248,                 2.6624,                 5.6316,                 1.9431,               0.001208,               0.001208,               0.001208
                     26,                 2.8302,                 2.6692,                 2.2181,                0.20558,                0.43443,                0.14586,                0.04344,                 2.7431,                 5.0269,                 1.9051,               0.001175,               0.001175,               0.001175
                     27,                 2.8396,                 2.5747,                 1.9859,                0.23242,                0.43033,                0.16576,                0.05211,                 2.7038,                  4.782,                 1.8509,               0.001142,               0.001142,               0.001142
                     28,                 2.7842,                 2.5067,                  1.935,                0.40062,                0.42623,                0.27056,                0.09701,                 2.5101,                 2.6614,                 1.7387,               0.001109,               0.001109,               0.001109
                     29,                 2.6875,                 2.4213,                 2.0461,                0.24766,                0.48361,                0.20665,                0.06722,                  2.586,                 2.9922,                 1.7993,               0.001076,               0.001076,               0.001076
                     30,                 2.7042,                 2.3859,                 2.0091,                0.25245,                0.41803,                0.17632,                0.05184,                  2.714,                 3.2476,                 1.8449,               0.001043,               0.001043,               0.001043
                     31,                 2.6751,                  2.382,                 2.0022,                0.25676,                0.41909,                0.17932,                0.05968,                 2.4956,                 4.3527,                   1.78,                0.00101,                0.00101,                0.00101
                     32,                  2.604,                 2.3584,                  1.973,                0.38892,                0.48361,                 0.3095,                0.11855,                 2.3757,                 2.8599,                 1.6604,               0.000977,               0.000977,               0.000977
                     33,                 2.6175,                 2.2779,                 1.9235,                0.40221,                0.46311,                0.38343,                0.15244,                 2.3377,                 2.2344,                 1.6431,               0.000944,               0.000944,               0.000944
                     34,                 2.6061,                 2.2207,                 1.9662,                0.43809,                0.45902,                0.39879,                0.15568,                 2.3525,                 2.0727,                 1.6541,               0.000911,               0.000911,               0.000911
                     35,                 2.5934,                 2.2739,                 1.9558,                0.42231,                0.40164,                0.37404,                0.13932,                 2.4021,                 2.1967,                 1.6771,               0.000878,               0.000878,               0.000878
                     36,                 2.5639,                 2.2038,                 1.9303,                0.41921,                0.45902,                0.39299,                0.14208,                 2.4383,                 2.2337,                 1.6906,               0.000845,               0.000845,               0.000845
                     37,                 2.5678,                 2.2141,                 1.8514,                0.48598,                0.47951,                0.41978,                0.16729,                 2.3303,                 2.0677,                 1.6601,               0.000812,               0.000812,               0.000812
                     38,                 2.4836,                 2.2241,                 1.9125,                0.54041,                0.46311,                0.44235,                0.18185,                 2.3002,                 1.9448,                 1.6391,               0.000779,               0.000779,               0.000779
                     39,                 2.4988,                 2.1397,                 1.9316,                0.49559,                 0.4877,                0.45901,                 0.1732,                 2.3862,                 1.8776,                 1.6277,               0.000746,               0.000746,               0.000746
                     40,                  2.432,                 2.0268,                  1.758,                0.53102,                0.45902,                0.46867,                0.18226,                  2.327,                 1.8694,                 1.5969,               0.000713,               0.000713,               0.000713
                     41,                 2.4925,                  2.015,                 1.7434,                0.54246,                0.48361,                0.46717,                0.19208,                 2.2752,                 1.8707,                 1.5817,                0.00068,                0.00068,                0.00068
                     42,                 2.4125,                 2.0266,                 1.7082,                0.59853,                 0.4877,                0.48237,                0.19846,                 2.2506,                 1.8412,                 1.5723,               0.000647,               0.000647,               0.000647
                     43,                 2.4302,                 2.0212,                 1.7796,                0.57188,                0.47628,                0.50013,                0.20948,                 2.2462,                 1.7905,                 1.5667,               0.000614,               0.000614,               0.000614
                     44,                 2.4608,                 2.0477,                 1.7069,                0.57146,                 0.5082,                0.52268,                0.22957,                 2.2156,                 1.7542,                 1.5503,               0.000581,               0.000581,               0.000581
                     45,                 2.4099,                 2.0212,                 1.7843,                0.55647,                0.50907,                0.51054,                0.22036,                 2.2008,                 1.7662,                 1.5464,               0.000548,               0.000548,               0.000548
                     46,                 2.4932,                 1.9979,                 1.7437,                0.60808,                0.47692,                0.53123,                0.23097,                 2.1717,                 1.7187,                  1.525,               0.000515,               0.000515,               0.000515
                     47,                 2.3942,                 1.8956,                 1.6777,                0.61052,                 0.4877,                0.53976,                 0.2429,                  2.125,                 1.7179,                 1.5109,               0.000482,               0.000482,               0.000482
                     48,                 2.2764,                 1.9401,                 1.7426,                0.57549,                    0.5,                0.53659,                0.22498,                 2.1346,                  1.727,                 1.5216,               0.000449,               0.000449,               0.000449
                     49,                 2.3582,                 1.9595,                 1.8122,                0.54512,                    0.5,                0.49753,                0.20953,                  2.173,                 1.7797,                 1.5362,               0.000416,               0.000416,               0.000416
                     50,                 2.3746,                 2.0035,                 1.7288,                 0.5659,                0.50757,                0.51708,                0.23045,                 2.1471,                 1.7345,                 1.5236,               0.000383,               0.000383,               0.000383
                     51,                 2.2772,                 2.0878,                 1.6294,                0.60278,                0.53689,                0.55537,                0.25002,                 2.1274,                 1.6802,                 1.4978,                0.00035,                0.00035,                0.00035
                     52,                 2.1591,                 1.9552,                 1.6281,                0.56841,                0.52896,                0.55515,                 0.2516,                 2.1419,                 1.7205,                 1.5018,               0.000317,               0.000317,               0.000317
                     53,                 2.2007,                 1.9079,                 1.5405,                0.58559,                 0.4918,                0.55384,                0.25292,                 2.1445,                 1.7192,                  1.505,               0.000284,               0.000284,               0.000284
                     54,                 2.2944,                 1.9208,                 1.6338,                0.59227,                0.48361,                 0.5569,                0.25619,                 2.1481,                 1.6904,                 1.5006,               0.000251,               0.000251,               0.000251
                     55,                 2.2401,                 1.8956,                 1.6508,                0.60263,                0.54098,                0.57186,                0.26384,                 2.1328,                 1.6336,                  1.482,               0.000218,               0.000218,               0.000218
                     56,                 2.2363,                 1.8268,                 1.6124,                0.61076,                0.56557,                0.59046,                 0.2752,                 2.0923,                  1.587,                 1.4605,               0.000185,               0.000185,               0.000185
                     57,                 2.1111,                 1.8047,                 1.5567,                0.62578,                0.55328,                0.60447,                0.28906,                 2.0506,                 1.5554,                 1.4426,               0.000152,               0.000152,               0.000152
                     58,                 2.2061,                 1.7921,                 1.5848,                0.62487,                0.58197,                0.62474,                0.29955,                  2.025,                 1.5322,                 1.4333,               0.000119,               0.000119,               0.000119
                     59,                 2.2057,                 1.7949,                 1.5842,                0.63302,                 0.5797,                0.62907,                0.30258,                 2.0178,                 1.5263,                 1.4301,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 2.1442,                   1.74,                  1.587,                0.65014,                0.58607,                0.63495,                0.30394,                 2.0116,                 1.5236,                 1.4261,                5.3e-05,                5.3e-05,                5.3e-05
